Count     seq        par        seq-smp     par-smp-2   par-smp-4

1      713        724           716         725         724
2      1414       1429          1424        1077        1065
3      2122       2174          2130        1430        1446
4      14829      14812         15118       13416       14684
5      15610      15590         15839       14433       14354
6      16093      16145         16487       13890       13904
7      16789      16817         17193       14810       14267
8      17510      17648         18027       15318       16283
9      18073      18145         18447       15233       16697
10     26249      26340         30326       17257       14920
11     27743      27973         28547       16244       13669
12     28459      28713         29106       16968       15893
13     29375      29649         30203       19342       16141
14     37734      38157         38645       22132       16091
15     38524      38733         39886       20448       17889
16     39103      39493         40266       23084       17012
17     39867      40243         43025       28327       18979
18     40573      40970         41707       23756       17098
19     53141      53421         54529       28902       19618
20     53833      54280         55232       28398       19789
21     54348      54785         55599       30506       19188
22     55084      55598         56274       32256       22500
23     55617      56008         56931       35813       23081
24     56329      56654         57504       31963       22558
25     65442      65979         66811       34807       21774
26     66091      66588         67460       37223       22351
27     66610      67051         68189       37012       24631
28     67288      67907         69197       37916       25039
29     67981      68771         69542       38145       22687
30     68767      69518         70263       38788       25004
31     69442      70145         71064       37134       25061
32     70228      70760         71659       37601       24421
33     70889      71595         76039       39616       27808
34     71556      72197         73061       39685       25542
35     90645      91300         93200       49652       29261
36     99805      100651        102474      55892       31252
37     100166     101020        106749      56205       38985
38     100642     101577        105817      55083       32446
39     101415     102076        103619      54891       34814
40     102123     103037        104580      57304       37068
41     102718     103500        104755      59347       38896
42     103304     104157        107878      59615       35771
43     104272     104976        106476      59978       36878
44     106069     107090        109428      59787       41737
45     106949     107747        109143      57408       38879
46     107548     108473        110510      57121       33727
47     108305     108998        111262      58139       40849
48     109015     109830        113125      62674       41131
49     109545     110370        111865      62899       39812
50     112130     113309        119154      61038       34256
51     112871     113995        115421      62873       45590
52     113637     114741        116299      65112       38099
53     114356     115465        116746      61295       36215
54     131130     132487        134022      75505       43476
55     131859     133259        134897      69876       44898
56     132513     133877        136494      73109       45543
57     133254     134437        139019      71770       43962
58     133948     135258        137899      74311       46709
59     134669     135981        138336      76022       48073
60     144728     146067        148744      81293       46484
61     145435     146766        149338      79328       49781
62     146066     147345        150226      82205       46502
63     146986     148251        150843      84454       46184
64     147621     148579        150722      81037       46731
65     148358     149690        151267      81076       50545
66     148941     150980        152300      82490       48107
67     149676     151498        152697      80155       47238
68     150155     151614        153466      80062       44334
69     150799     152548        154176      83708       46870
70     151346     152833        154684      83452       49824
71     152189     153733        155428      84117       49952
72     152880     154395        156288      80968       47601
73     153714     155111        157622      85562       48364
74     154307     155725        157977      82811       52595
75     154831     156373        158605      87219       47610
76     156174     157695        159574      87753       47532
77     156838     158395        160474      83736       52412
78     157496     159176        161942      84767       53720
79     158399     159688        163235      86021       51508
80     158932     160549        165221      88463       49718
81     159576     161345        163138      86736       49451
82     160341     162004        165991      87093       48091
83     160927     162802        166238      86877       51864
84     163899     165947        170610      89804       53253
85     164701     166471        169272      94034       54386
86     165282     167092        169536      90769       52559
87     166491     167789        170779      95007       51057
88     166883     168731        171475      93239       58125
89     167540     169777        172243      91018       52455
90     168514     170376        172898      89108       56267
91     168876     171349        173399      90751       51700
92     169563     171798        173873      90376       57502
93     170277     172466        174935      94966       52236
94     171264     173183        175234      95709       52416
95     4149980    4163865       4216751     4081446     4089133
96     4155618    4157161       4217219     4092649     4142236
97     4160891    4222657       4286076     4062170     4138258
98     4159490    4172017       4230086     4069189     4097029
99     4163132    4172182       4234709     4083323     4088744
100    4168704    4170987       4235256     4053642     4065749
