Count   conc:1  conc-par:1  conc-smp   conc-par-2   conc-par-4

1      694        710       697        728          724
2      1410       1442      1414       1076         1082
3      2129       2172      2169       1452         1437
4      17834      17855     18871      18863        16869
5      18541      18590     19201      17811        19394
6      19230      19326     21843      18855        17480
7      19951      19977     21062      19231        17634
8      20618      20711     21678      18643        18002
9      21133      21197     22248      19037        18097
10     31513      31655     33732      18848        20438
11     33856      34063     34980      21757        19025
12     34651      34844     37281      21702        23065
13     35641      35832     36182      23194        18342
14     45845      46133     46866      25102        20365
15     46903      46971     51160      26191        19427
16     47729      47525     49921      28179        25262
17     48309      48320     50223      29376        20242
18     48949      48994     50668      29527        21738
19     64838      64786     70725      37610        29398
20     65109      65660     67461      39353        26615
21     65738      65912     66992      41024        22715
22     66557      66671     71238      39223        26631
23     67455      67503     73239      36424        25204
24     67898      67887     74435      42468        27670
25     79245      79426     81207      44194        26837
26     79976      80225     81994      43487        32156
27     80699      80993     82397      46091        32054
28     81368      81530     83914      54833        29897
29     81648      82371     84822      44659        36632
30     82364      83394     84604      46573        32952
31     83081      83454     86248      48923        31382
32     83750      84363     86068      46703        31838
33     84476      84959     86708      46192        33609
34     85182      85616     88106      47782        31785
35     108682     110051    114749     61578        41996
36     120026     122221    122982     68618        45039
37     120410     121853    123284     74483        49265
38     121045     122200    124527     68518        48372
39     122207     123268    126188     69526        41965
40     123057     123592    125780     72720        42509
41     123573     124692    126818     73033        43150
42     124074     124994    127674     73306        49192
43     124406     125986    128121     71388        42410
44     127042     128615    130749     77947        46294
45     128083     130375    132107     76457        44405
46     128373     129906    132471     80036        52565
47     129189     130855    132493     74583        50919
48     129958     131482    133114     77520        50166
49     130752     133047    133730     80712        46375
50     134067     135540    137436     75780        50809
51     134792     136547    137921     75526        45997
52     135622     137008    138768     75025        52879
53     136454     138782    139364     76188        44983
54     151163     152962    151188     84860        50330
55     152039     153954    152114     84132        57680
56     153268     154866    155817     87088        61391
57     153687     155510    152898     83701        60635
58     154440     156406    155494     90279        63956
59     155235     157339    156035     88577        52333
60     167071     169758    169326     99677        55447
61     167616     170075    169334     95744        57803
62     168524     170887    169444     94024        57190
63     169064     171448    170019     92484        56032
64     169521     172008    173888     100535       59639
65     170282     172844    174103     92848        58924
66     171149     173702    172112     96545        56958
67     171800     174230    173677     104136       62376
68     172170     174946    172777     102278       59484
69     173241     175591    176874     95674        60230
70     173470     176173    179284     96776        66523
71     174408     177013    174971     104161       61320
72     175377     177683    181430     98586        57785
73     176120     178429    176879     104428       56859
74     176358     179079    178195     126649       66114
75     177135     180263    178898     110428       66148
76     179044     181459    178951     102381       67668
77     179447     182233    181606     107681       58161
78     180343     183313    181337     104721       60928
79     180977     183832    182344     101160       60361
80     181685     184529    184050     103138       58625
81     182330     185302    187200     103273       61457
82     183019     185840    185985     104482       57729
83     183794     186491    186148     108769       62780
84     188190     190949    188584     103034       64975
85     188603     191797    191282     107126       62213
86     189288     192474    191996     110642       62902
87     190061     193688    193678     110071       63586
88     191034     194088    191224     103798       64820
89     191699     194736    195043     104688       61485
90     192204     196051    195014     107174       59869
91     192933     196364    193581     107055       67069
92     194145     196853    196692     113481       73197
93     194351     197650    199086     112368       65795
94     195035     199830    245479     117779       72354
95     3161935    3371644   506956     1741097      488046
96     3177916    3213635   444111     1342965      446397
97     3091406    2648605   881555     854022       686916
98     2630468    2295255   743651     797575       309595
99     2213572    2033212   714061     848432       488842
100    2052030    1326575   372241     426780       184200
