Count  seq      par        seq-smp   par-smp-2   par-smp-4

1     696       711        704        728         722
2     1411      1431       1429       1078        1078
3     2118      2152       2160       1431        1426
4     14672     14726      15240      13372       16846
5     15397     15428      16074      14292       14094
6     16072     16119      17590      13823       18763
7     16801     16827      17379      14875       14363
8     17493     17533      22383      15254       14577
9     18044     18060      18727      15447       14684
10    26193     26349      27042      17283       14637
11    27787     27884      28415      16352       14943
12    28521     28667      32827      17421       13776
13    29443     29622      30560      17905       14029
14    37725     38035      39184      22193       15807
15    38452     38658      40829      20515       18562
16    39163     39494      39956      23041       15569
17    39885     40300      42271      23442       17029
18    40629     40849      41907      23635       21156
19    53060     53387      55542      27959       19940
20    53878     54186      56136      30746       20347
21    54369     54734      57238      30963       25772
22    55054     55504      56354      31399       19403
23    55610     55948      57372      31634       22956
24    56343     56628      58049      32002       23217
25    65303     65797      67596      36805       23527
26    66048     66755      68023      37182       27173
27    66479     66965      69079      35355       21057
28    67326     67730      69090      35807       24865
29    68069     68646      69470      37829       25039
30    68776     69273      70628      36862       27011
31    69429     69932      71473      40540       26753
32    70169     70654      71942      38947       24488
33    70941     71499      72702      39862       23550
34    71568     72185      73251      40517       26275
35    90492     91153      98549      52610       32643
36    99610     100296     102245     57552       36956
37    100021    100892     103358     54604       38049
38    100788    101509     103516     54125       32885
39    101264    102288     103632     58476       35972
40    102220    102751     104642     60153       36749
41    102617    103396     107943     59459       39964
42    103545    104167     107049     55752       40616
43    104395    105169     106502     60232       37009
44    106214    106844     109613     58701       33467
45    106789    107584     109102     62826       40388
46    107543    108542     110378     60588       39394
47    108116    108995     111152     58850       36929
48    108966    109866     111800     59028       39474
49    109292    110320     111727     60947       38967
50    112356    113191     114721     62839       40687
51    112711    113774     116300     61162       33625
52    113936    114473     117072     60114       39612
53    114130    115373     117404     63632       37851
54    131128    132258     133922     70424       39678
55    131646    132930     135566     71358       38081
56    132769    133579     135464     75692       50057
57    133024    134105     136170     75220       41112
58    133959    135301     137250     71969       44484
59    134485    135737     138058     71047       49419
60    144813    145795     148597     81265       46730
61    145193    146565     149313     78175       43608
62    146157    147642     151879     77703       45981
63    146753    147991     150556     80681       49857
64    147508    148644     151275     79841       49455
65    148144    149604     151607     82550       46413
66    148889    150444     152878     79771       48701
67    149322    151176     153595     79797       45155
68    150361    151513     154510     83284       54140
69    150669    152066     154796     83302       50597
70    151572    153032     155645     86069       46038
71    152323    153387     156310     80459       43870
72    153219    154556     156202     84620       50474
73    154082    155812     160116     82492       50200
74    154454    155931     157212     85236       46010
75    154919    156673     158408     86935       52649
76    156692    157614     159544     85796       47305
77    156951    158495     160314     86528       50966
78    157962    160282     160876     83745       50475
79    158069    159701     161597     88323       47336
80    159007    160535     162338     87440       61459
81    159709    161513     163053     84794       48828
82    160796    161931     167455     85193       52284
83    160648    162908     164542     87106       51410
84    164029    165642     171623     87875       51102
85    164462    166282     167917     88802       55935
86    165303    167242     168902     88867       54719
87    165961    167833     169741     90976       53837
88    166872    168729     172407     92860       52233
89    167289    169697     172304     92769       55577
90    168497    170081     172723     93688       52942
91    168635    170660     172288     93476       51949
92    169610    171829     173081     95253       54964
93    170137    172258     174525     96300       51078
94    171515    174012     177040     93346       58196

